City,state_id,State
South Creek,WA,Washington
Roslyn,WA,Washington
Sprague,WA,Washington
Gig Harbor,WA,Washington
Lake Cassidy,WA,Washington
Tenino,WA,Washington
Jamestown,WA,Washington
Three Lakes,WA,Washington
Curlew Lake,WA,Washington
Chain Lake,WA,Washington
Pateros,WA,Washington
Rosburg,WA,Washington
Parkland,WA,Washington
Birch Bay,WA,Washington
Ashford,WA,Washington
Navy Yard City,WA,Washington
Omak,WA,Washington
Farmington,WA,Washington
Buckley,WA,Washington
Cathcart,WA,Washington
Poulsbo,WA,Washington
Anacortes,WA,Washington
Maplewood,WA,Washington
Creston,WA,Washington
Rockford,WA,Washington
Wishram,WA,Washington
Centralia,WA,Washington
South Hill,WA,Washington
Longview Heights,WA,Washington
Erlands Point-Kitsap Lake,WA,Washington
Amboy,WA,Washington
St. John,WA,Washington
Dallesport,WA,Washington
Ketron Island,WA,Washington
Mesa,WA,Washington
Fife,WA,Washington
Moses Lake North,WA,Washington
Chewelah,WA,Washington
Grayland,WA,Washington
Kittitas,WA,Washington
Camano,WA,Washington
Monroe North,WA,Washington
North Bonneville,WA,Washington
Klickitat,WA,Washington
Loon Lake,WA,Washington
Newport,WA,Washington
Mead,WA,Washington
Cashmere,WA,Washington
Aberdeen Gardens,WA,Washington
Ocean Shores,WA,Washington
Basin City,WA,Washington
Wilkeson,WA,Washington
Meadow Glade,WA,Washington
Arlington Heights,WA,Washington
Uniontown,WA,Washington
Oakesdale,WA,Washington
West Side Highway,WA,Washington
Conconully,WA,Washington
Latah,WA,Washington
Elma,WA,Washington
Tieton,WA,Washington
Southworth,WA,Washington
Danville,WA,Washington
Toppenish,WA,Washington
River Road,WA,Washington
Geneva,WA,Washington
Yakima,WA,Washington
Moxee,WA,Washington
Edmonds,WA,Washington
Kalama,WA,Washington
Laurier,WA,Washington
Vashon,WA,Washington
Country Homes,WA,Washington
Darrington,WA,Washington
Metaline Falls,WA,Washington
Lyle,WA,Washington
Cascade Valley,WA,Washington
Spangle,WA,Washington
Methow,WA,Washington
Waterville,WA,Washington
Lake Roesiger,WA,Washington
Milton,WA,Washington
Krupp,WA,Washington
Alderton,WA,Washington
DuPont,WA,Washington
Edgewood,WA,Washington
North Puyallup,WA,Washington
Pacific Beach,WA,Washington
Manson,WA,Washington
Brewster,WA,Washington
Battle Ground,WA,Washington
Shoreline,WA,Washington
Cosmopolis,WA,Washington
Airway Heights,WA,Washington
Grandview,WA,Washington
Inchelium,WA,Washington
Grand Coulee,WA,Washington
Union,WA,Washington
Torboy,WA,Washington
Kelso,WA,Washington
Westport,WA,Washington
Junction City,WA,Washington
Lake Ketchum,WA,Washington
West Pasco,WA,Washington
Des Moines,WA,Washington
Davenport,WA,Washington
Seattle,WA,Washington
Lake Stickney,WA,Washington
Carnation,WA,Washington
Everett,WA,Washington
Warden,WA,Washington
Palouse,WA,Washington
Terrace Heights,WA,Washington
Clarkston,WA,Washington
Elmer City,WA,Washington
Mossyrock,WA,Washington
Summit View,WA,Washington
Suquamish,WA,Washington
Newcastle,WA,Washington
Stanwood,WA,Washington
Kapowsin,WA,Washington
Donald,WA,Washington
Altoona,WA,Washington
South Prairie,WA,Washington
Eschbach,WA,Washington
Indianola,WA,Washington
Reardan,WA,Washington
Cowiche,WA,Washington
Sunday Lake,WA,Washington
Rocky Point,WA,Washington
Burbank,WA,Washington
Lakeland North,WA,Washington
Granite Falls,WA,Washington
Camas,WA,Washington
Skokomish,WA,Washington
Cusick,WA,Washington
Rosalia,WA,Washington
Longbranch,WA,Washington
Granger,WA,Washington
North Fort Lewis,WA,Washington
Tampico,WA,Washington
Tukwila,WA,Washington
Cathlamet,WA,Washington
Wenatchee,WA,Washington
Port Ludlow,WA,Washington
Castle Rock,WA,Washington
Glacier,WA,Washington
Index,WA,Washington
Republic,WA,Washington
Bellevue,WA,Washington
Malo,WA,Washington
Anderson Island,WA,Washington
University Place,WA,Washington
Montesano,WA,Washington
Rainier,WA,Washington
Fords Prairie,WA,Washington
Roy,WA,Washington
Oso,WA,Washington
Marblemount,WA,Washington
Elk Plain,WA,Washington
Burlington,WA,Washington
Bangor Base,WA,Washington
Beaux Arts Village,WA,Washington
Port Gamble Tribal Community,WA,Washington
Olympia,WA,Washington
East Wenatchee,WA,Washington
Addy,WA,Washington
Minnehaha,WA,Washington
Bryn Mawr-Skyway,WA,Washington
Satsop,WA,Washington
Riverbend,WA,Washington
Easton,WA,Washington
Silverdale,WA,Washington
Napavine,WA,Washington
Lochsloy,WA,Washington
Ellensburg,WA,Washington
McKenna,WA,Washington
Fairfield,WA,Washington
Northwest Stanwood,WA,Washington
Mansfield,WA,Washington
Duvall,WA,Washington
Markham,WA,Washington
Waller,WA,Washington
Longview,WA,Washington
Richland,WA,Washington
Rosedale,WA,Washington
Vancouver,WA,Washington
Bethel,WA,Washington
Custer,WA,Washington
Lofall,WA,Washington
Fairwood,WA,Washington
Winlock,WA,Washington
Sumner,WA,Washington
Cottage Lake,WA,Washington
Puget Island,WA,Washington
Woods Creek,WA,Washington
Washougal,WA,Washington
Sisco Heights,WA,Washington
Canterwood,WA,Washington
Wapato,WA,Washington
Lower Elochoman,WA,Washington
Lake Goodwin,WA,Washington
Banks Lake South,WA,Washington
Kent,WA,Washington
Bickleton,WA,Washington
Ryderwood,WA,Washington
Cavalero,WA,Washington
La Conner,WA,Washington
Martha Lake,WA,Washington
George,WA,Washington
Snohomish,WA,Washington
Eatonville,WA,Washington
Carson,WA,Washington
Almira,WA,Washington
Nooksack,WA,Washington
Mount Vista,WA,Washington
High Bridge,WA,Washington
Lakeland South,WA,Washington
Kenmore,WA,Washington
Neah Bay,WA,Washington
Cliffdell,WA,Washington
Port Angeles East,WA,Washington
Burien,WA,Washington
Taholah,WA,Washington
Wauna,WA,Washington
Connell,WA,Washington
Disautel,WA,Washington
Santiago,WA,Washington
Orting,WA,Washington
Colville,WA,Washington
Marysville,WA,Washington
Walla Walla,WA,Washington
Zillah,WA,Washington
Curlew,WA,Washington
Key Center,WA,Washington
Hoodsport,WA,Washington
Spanaway,WA,Washington
Mattawa,WA,Washington
Clallam Bay,WA,Washington
Prairie Ridge,WA,Washington
Rockport,WA,Washington
Stansberry Lake,WA,Washington
Copalis Beach,WA,Washington
Frederickson,WA,Washington
Asotin,WA,Washington
Mill Creek,WA,Washington
Bell Hill,WA,Washington
Green Bluff,WA,Washington
Clayton,WA,Washington
Puyallup,WA,Washington
Hockinson,WA,Washington
Lake McMurray,WA,Washington
Bucoda,WA,Washington
Issaquah,WA,Washington
Odessa,WA,Washington
Hazel Dell,WA,Washington
McMillin,WA,Washington
Wilbur,WA,Washington
Skamokawa Valley,WA,Washington
Centerville,WA,Washington
Nile,WA,Washington
Spokane Valley,WA,Washington
Woodland,WA,Washington
Lewisville,WA,Washington
Vantage,WA,Washington
Gorst,WA,Washington
Lake Morton-Berrydale,WA,Washington
Ione,WA,Washington
Bothell West,WA,Washington
Vaughn,WA,Washington
Black Diamond,WA,Washington
Ferndale,WA,Washington
Acme,WA,Washington
White Center,WA,Washington
Fairchild AFB,WA,Washington
Pacific,WA,Washington
Glenwood,WA,Washington
Colfax,WA,Washington
Silvana,WA,Washington
Forks,WA,Washington
Kirkland,WA,Washington
Okanogan,WA,Washington
Kayak Point,WA,Washington
Union Hill-Novelty Hill,WA,Washington
Outlook,WA,Washington
Lake Tapps,WA,Washington
Cohassett Beach,WA,Washington
Tonasket,WA,Washington
Sunnyside,WA,Washington
Lakeview,WA,Washington
Carbonado,WA,Washington
Pullman,WA,Washington
Blyn,WA,Washington
Brinnon,WA,Washington
Friday Harbor,WA,Washington
Orchards,WA,Washington
Purdy,WA,Washington
Tekoa,WA,Washington
Tanner,WA,Washington
Thorp,WA,Washington
Artondale,WA,Washington
Liberty Lake,WA,Washington
Cheney,WA,Washington
Sammamish,WA,Washington
Cle Elum,WA,Washington
Fern Prairie,WA,Washington
Waverly,WA,Washington
Lakewood,WA,Washington
Lake Marcel-Stillwater,WA,Washington
Central Park,WA,Washington
Bridgeport,WA,Washington
Raft Island,WA,Washington
Larch Way,WA,Washington
Lake Bosworth,WA,Washington
Barberton,WA,Washington
Sekiu,WA,Washington
Brier,WA,Washington
Spokane,WA,Washington
Fall City,WA,Washington
Pasco,WA,Washington
Lyman,WA,Washington
Oakville,WA,Washington
Dash Point,WA,Washington
Herron Island,WA,Washington
West Clarkston-Highland,WA,Washington
Royal City,WA,Washington
Venersborg,WA,Washington
Hoquiam,WA,Washington
Willapa,WA,Washington
Quilcene,WA,Washington
Freeland,WA,Washington
McCleary,WA,Washington
Roosevelt,WA,Washington
Long Beach,WA,Washington
Trout Lake,WA,Washington
Coulee Dam,WA,Washington
Swede Heaven,WA,Washington
Pine Grove,WA,Washington
Langley,WA,Washington
Sedro-Woolley,WA,Washington
Hatton,WA,Washington
Entiat,WA,Washington
Bainbridge Island,WA,Washington
Auburn,WA,Washington
Ocean City,WA,Washington
White Swan,WA,Washington
Felida,WA,Washington
Lacey,WA,Washington
Gold Bar,WA,Washington
Clyde Hill,WA,Washington
Upper Elochoman,WA,Washington
Marcus,WA,Washington
Canyon Creek,WA,Washington
Malone,WA,Washington
Bothell East,WA,Washington
Yarrow Point,WA,Washington
Steptoe,WA,Washington
West Richland,WA,Washington
Orient,WA,Washington
Federal Way,WA,Washington
Pe Ell,WA,Washington
Deep River,WA,Washington
Bothell,WA,Washington
South Wenatchee,WA,Washington
Snoqualmie Pass,WA,Washington
Hartline,WA,Washington
Lake Forest Park,WA,Washington
Crocker,WA,Washington
Elbe,WA,Washington
Ravensdale,WA,Washington
Arlington,WA,Washington
McChord AFB,WA,Washington
Lebam,WA,Washington
Lynden,WA,Washington
Coupeville,WA,Washington
Prescott,WA,Washington
South Bend,WA,Washington
Mabton,WA,Washington
North Bend,WA,Washington
Grapeview,WA,Washington
Garfield,WA,Washington
Rochester,WA,Washington
Dayton,WA,Washington
Algona,WA,Washington
Mineral,WA,Washington
Barstow,WA,Washington
Moclips,WA,Washington
Bellingham,WA,Washington
Vader,WA,Washington
North Lynnwood,WA,Washington
Tracyton,WA,Washington
White Salmon,WA,Washington
Peaceful Valley,WA,Washington
East Renton Highlands,WA,Washington
Metaline,WA,Washington
Deming,WA,Washington
Medical Lake,WA,Washington
Aberdeen,WA,Washington
Chehalis,WA,Washington
Onalaska,WA,Washington
Toledo,WA,Washington
Everson,WA,Washington
Belfair,WA,Washington
Lynnwood,WA,Washington
Colton,WA,Washington
Malden,WA,Washington
Ames Lake,WA,Washington
Wilson Creek,WA,Washington
North Yelm,WA,Washington
Mirrormont,WA,Washington
Whidbey Island Station,WA,Washington
Town and Country,WA,Washington
Tokeland,WA,Washington
Snoqualmie,WA,Washington
Bremerton,WA,Washington
East Cathlamet,WA,Washington
Fort Lewis,WA,Washington
Salmon Creek,WA,Washington
Skykomish,WA,Washington
Tacoma,WA,Washington
